"symbol","TS","time","open","high","low","close","volume"
"BTCEUR",1495152000000,"05/19/2017 01:00:00",1775.9515356,1775.9515356,1775.9515356,1775.9515356,0.01
"BTCEUR",1495324800000,"05/21/2017 01:00:00",1877,1877.3,1789.4134792,1809.3,418.98840199
"BTCEUR",1495411200000,"05/22/2017 01:00:00",1810.2,1977.4446698,1764,1812.642783,15690.64123431
"BTCEUR",1495497600000,"05/23/2017 01:00:00",1889.2738209,2012.9,1872,2000.6,495.36173595
"BTCEUR",1495584000000,"05/24/2017 01:00:00",2009.2,2179.6,2009.2,2137.2,1235.25570499
"BTCEUR",1495670400000,"05/25/2017 01:00:00",2128.4,2398.4,1926,2022.7,1732.66669019
"BTCEUR",1495756800000,"05/26/2017 01:00:00",2022.7,2158.2,1881.5,1883.3,536.92415051
"BTCEUR",1495843200000,"05/27/2017 01:00:00",1635.720807,1635.720807,1619.455649,1619.455649,0.02
"BTCEUR",1495929600000,"05/28/2017 01:00:00",1914.2662113,1941.9,1913.5,1941.9,15.67265832
"BTCEUR",1496016000000,"05/29/2017 01:00:00",1905.4,2008.4,1872.2,1962.2,436.25215376
"BTCEUR",1496102400000,"05/30/2017 01:00:00",1987.8,2026.9,1859.8,1908.1,1326.20990953
"BTCEUR",1496188800000,"05/31/2017 01:00:00",1920.3,1995.6,1789.3,1950.9,2546.85184786
"BTCEUR",1496275200000,"06/01/2017 01:00:00",1950.7,2108.2,1950.7,2058.5,2025.84773549
"BTCEUR",1496361600000,"06/02/2017 01:00:00",2062.6,2140.2,2017.3,2138.4,1242.03277812
"BTCEUR",1496448000000,"06/03/2017 01:00:00",2138.5,2211.4,2096.8,2197.4,561.5424586
"BTCEUR",1496534400000,"06/04/2017 01:00:00",2179.8,2225.1,2124.223847,2200.1,448.04362966
"BTCEUR",1496620800000,"06/05/2017 01:00:00",2218.4,2352.8,2218.4,2343.3,717.29870676
"BTCEUR",1496707200000,"06/06/2017 01:00:00",2336.9,2567.4,2336.9,2523.3,3717.33028741
"BTCEUR",1496793600000,"06/07/2017 01:00:00",2524.2877632,2528.9,2312.8,2350.6,2797.13123789
"BTCEUR",1496880000000,"06/08/2017 01:00:00",2335.1,2475.2,2287.4,2469.7,870.1003158
"BTCEUR",1496966400000,"06/09/2017 01:00:00",2495.4,2544.8,2495.4,2506.3,218.88026866
"BTCEUR",1497052800000,"06/10/2017 01:00:00",2521.3,2583.3,2448.9,2508.5,1171.58670145
"BTCEUR",1497139200000,"06/11/2017 01:00:00",2520.1,2631.443661,2501.66477,2614.5,125.02763007
"BTCEUR",1497225600000,"06/12/2017 01:00:00",2616.7,2627.3,2037.4,2292.2,5090.61581899
"BTCEUR",1497312000000,"06/13/2017 01:00:00",2296.1,2432.7094656,2257.5,2386.6,2142.26740651
"BTCEUR",1497398400000,"06/14/2017 01:00:00",2385.2,2427.5,2033.2,2134.7,3466.54289346
"BTCEUR",1497484800000,"06/15/2017 01:00:00",2134.2,2189.7,1844,2131.3,3979.29451161
"BTCEUR",1497571200000,"06/16/2017 01:00:00",2150,2194.9,2103,2184,383.43930246
"BTCEUR",1497657600000,"06/17/2017 01:00:00",2180.7,2357.7,2128,2344.1,510.68171415
"BTCEUR",1497744000000,"06/18/2017 01:00:00",2337.5,2358.6,2162.4,2229.9,1152.11104254
"BTCEUR",1497830400000,"06/19/2017 01:00:00",2230.1,2304.7,2221.1,2296.5661376,493.66198582
"BTCEUR",1497916800000,"06/20/2017 01:00:00",2324,2479.2,2313.8,2437.3,473.44410322
"BTCEUR",1497916800000,"06/20/2017 01:00:00",2324,2479.2,2313.8,2437.3,473.44410322
"BTCEUR",1498003200000,"06/21/2017 01:00:00",2426.9,2471.4,2307.6,2347.8,987.84692197
"BTCEUR",1498089600000,"06/22/2017 01:00:00",2351.4,2423.3,2289.9,2395.6,1025.72710392
"BTCEUR",1498176000000,"06/23/2017 01:00:00",2397.7,2435.4,2373.2,2390.7,570.47161873
"BTCEUR",1498262400000,"06/24/2017 01:00:00",2394.2,2413,2194.3,2249.9,1333.55186611
"BTCEUR",1498348800000,"06/25/2017 01:00:00",2236.5,2319,2117,2216.8,1371.8813488
"BTCEUR",1498435200000,"06/26/2017 01:00:00",2205.3,2243.2,2027.3,2159.6,2203.9806558
"BTCEUR",1498521600000,"06/27/2017 01:00:00",2139.6,2203.9,1988.6,2202.5,1575.60562489
"BTCEUR",1498608000000,"06/28/2017 01:00:00",2197.4,2241,2123.2,2224.4,1635.87145172
"BTCEUR",1498694400000,"06/29/2017 01:00:00",2209.8,2221.5,2127.7,2161.4,1218.97784048
"BTCEUR",1498780800000,"06/30/2017 01:00:00",2163.5,2198.61312063,2108.95666147,2121.7,977.01690019
"BTCEUR",1498867200000,"07/01/2017 01:00:00",2122.2,2136.4,2007.5,2060.6,1347.21866905
"BTCEUR",1498953600000,"07/02/2017 01:00:00",2057.5,2151.7,2018.3,2150.4,789.20980348
"BTCEUR",1499040000000,"07/03/2017 01:00:00",2145.1,2242.85639568,2117,2242.85639568,261.80844901
"BTCEUR",1499126400000,"07/04/2017 01:00:00",2298.95180006,2298.95180006,2216.6,2275.1,389.52174969
"BTCEUR",1499212800000,"07/05/2017 01:00:00",2275.1,2307.8,2208.2,2282.1,337.14382784
"BTCEUR",1499299200000,"07/06/2017 01:00:00",2291.2,2294.2868001,2252.3,2271.3,441.92173046
"BTCEUR",1499385600000,"07/07/2017 01:00:00",2274.7,2277.8,2148.4,2176.1,587.27311035
"BTCEUR",1499472000000,"07/08/2017 01:00:00",2168.8,2228.07205323,2139.3,2227.7,174.46652419
"BTCEUR",1499558400000,"07/09/2017 01:00:00",2240.4,2240.4,2169.7,2170.2,157.30834842
"BTCEUR",1499644800000,"07/10/2017 01:00:00",2182.6,2189.8,2022.2,2037.6,703.82591782
"BTCEUR",1499731200000,"07/11/2017 01:00:00",2043.7,2078.1,1919.9,1989,757.64342914
"BTCEUR",1499817600000,"07/12/2017 01:00:00",1985,2091.9,1923.30312457,2077.9,249.64819977
"BTCEUR",1499904000000,"07/13/2017 01:00:00",2078.5,2097.2,2011,2042.3,460.36059902
"BTCEUR",1499990400000,"07/14/2017 01:00:00",2043.1,2051.6,1868.5,1931.1,1000.53998668
"BTCEUR",1500076800000,"07/15/2017 01:00:00",1910.1,1920.70691466,1728.4,1730.67616479,1095.05663633
"BTCEUR",1500163200000,"07/16/2017 01:00:00",1725.6,1794,1611.2,1683.49716771,2029.01340329
"BTCEUR",1500249600000,"07/17/2017 01:00:00",1685.4,1926.9,1681,1926.9,1325.36042139
"BTCEUR",1500336000000,"07/18/2017 01:00:00",1936.9,2056.50765514,1869.9,1991.6,1363.82097594
"BTCEUR",1500422400000,"07/19/2017 01:00:00",1987.3,2061.1,1933.3,1949.4,184.74986082
"BTCEUR",1500508800000,"07/20/2017 01:00:00",1956.8,2514.5,1956.8,2432.98874936,1117.55663515
"BTCEUR",1500595200000,"07/21/2017 01:00:00",2472.67678106,2472.93617996,2242.8,2276.2,2359.84677247
"BTCEUR",1500681600000,"07/22/2017 01:00:00",2325,2470.4,2317.5,2429.16002653,250.0620471
"BTCEUR",1500768000000,"07/23/2017 01:00:00",2423.8,2434.3,2286.9,2361.6,796.80990776
"BTCEUR",1500854400000,"07/24/2017 01:00:00",2345.8,2409.60178256,2343.3,2384.46446801,78.46593225
"BTCEUR",1501027200000,"07/26/2017 01:00:00",2208.04765234,2208.5,2094,2161.8,275.64761208
"BTCEUR",1501113600000,"07/27/2017 01:00:00",2161.8,2280.8,2152.8,2258.7,725.1535335
"BTCEUR",1501200000000,"07/28/2017 01:00:00",2343.57144536,2392.20086432,2333.9,2376.2,89.45166232
"BTCEUR",1501372800000,"07/30/2017 01:00:00",2314.03574978,2314.03574978,2305.76616028,2305.76616028,0.6018
"BTCEUR",1501459200000,"07/31/2017 01:00:00",2360.21517013,2360.21517013,2360.21517013,2360.21517013,0.15048
"BTCEUR",1501545600000,"08/01/2017 01:00:00",2340.92458808,2340.92458808,2339.22642008,2339.22642008,1.85
"BTCEUR",1501632000000,"08/02/2017 01:00:00",2330.56465809,2330.56465809,2330.56465809,2330.56465809,1.017
"BTCEUR",1501718400000,"08/03/2017 01:00:00",2302.47785019,2302.47785019,2302.30886099,2302.30886099,0.8836
"BTCEUR",1501804800000,"08/04/2017 01:00:00",2402.27735489,2402.27735489,2402.27735489,2402.27735489,0.244
"BTCEUR",1501891200000,"08/05/2017 01:00:00",2661.45607489,2674.40568151,2661.37155739,2673.64542721,2.7769
"BTCEUR",1501977600000,"08/06/2017 01:00:00",2714.87084196,2714.87084196,2714.87084196,2714.87084196,0.379
"BTCEUR",1502064000000,"08/07/2017 01:00:00",2771.14142664,2771.14142664,2770.71893214,2770.71893214,0.43
"BTCEUR",1502323200000,"08/10/2017 01:00:00",2885,2910,2881,2883,51.80281771
"BTCEUR",1502409600000,"08/11/2017 01:00:00",3010.59477516,3012,2982.51149311,2982.51149311,83.11
"BTCEUR",1502668800000,"08/14/2017 01:00:00",3626.6,3647,3568.9,3647,131.20447813
"BTCEUR",1502755200000,"08/15/2017 01:00:00",3681.2,3749.5,3278.1,3561.3,275.21014212
"BTCEUR",1502841600000,"08/16/2017 01:00:00",3569.12247229,3570.91073779,3486,3486.3,8.88378538
"BTCEUR",1502928000000,"08/17/2017 01:00:00",3780.1,3791.26168664,3560.2,3650.8,131.85101622
"BTCEUR",1503014400000,"08/18/2017 01:00:00",3571.22762393,3571.48377893,3387.6,3468.5,135.23361883
"BTCEUR",1503100800000,"08/19/2017 01:00:00",3539.14087499,3539.22593209,3342,3371.3,92.08417073
"BTCEUR",1503187200000,"08/20/2017 01:00:00",3496.98939078,3531.5,3430.2,3430.2,20.411581
"BTCEUR",1503273600000,"08/21/2017 01:00:00",3469.4,3469.5,3397.7,3411.4,57.04366491
"BTCEUR",1503360000000,"08/22/2017 01:00:00",3315,3510.5,3129.7,3466.27008096,533.80048233
"BTCEUR",1503446400000,"08/23/2017 01:00:00",3450.3,3598,3443.9,3512.8,433.08691657
"BTCEUR",1503532800000,"08/24/2017 01:00:00",3512.7,3694.4,3512.7,3694.4,117.63625417
"BTCEUR",1503619200000,"08/25/2017 01:00:00",3688.9,3699.97540958,3621.1220847,3629.4592806,235.62094544
"BTCEUR",1503878400000,"08/28/2017 01:00:00",3610.50807718,3642.42272465,3609.3,3642.42272465,101.39145411
"BTCEUR",1503964800000,"08/29/2017 01:00:00",3661.59724467,3828.4,3661.59724467,3782,204.8788916
"BTCEUR",1504051200000,"08/30/2017 01:00:00",3807.47514694,3848.97452409,3807.47514694,3832.3,56.19296621
"BTCEUR",1504137600000,"08/31/2017 01:00:00",3864.1,3985.1,3863.2,3969.2,64.00307651
"BTCEUR",1504224000000,"09/01/2017 01:00:00",4020.3,4066.4,4013.9,4041.8,134.13939306
"BTCEUR",1504310400000,"09/02/2017 01:00:00",4051,4051,3732.27539126,3734.8,428.56145168
"BTCEUR",1504483200000,"09/04/2017 01:00:00",3608.5,3663.6,3403,3513.7,751.57774956
"BTCEUR",1504569600000,"09/05/2017 01:00:00",3350,3721.2,3317.09150131,3721.2,225.29202841
"BTCEUR",1504656000000,"09/06/2017 01:00:00",3702.31142022,3871,3664,3832.2,94.42755318
"BTCEUR",1504742400000,"09/07/2017 01:00:00",3789,3895.1,3747.3,3835.38075543,236.80523251
"BTCEUR",1504828800000,"09/08/2017 01:00:00",3804.4,3804.4,3422.4,3581.7,891.95462836
"BTCEUR",1504915200000,"09/09/2017 01:00:00",3471.2,3629.5,3471.2,3604.22472779,79.30454807
"BTCEUR",1505001600000,"09/10/2017 01:00:00",3458.6933031,3458.6933031,3345.67007193,3408.77401831,123.87999158
"BTCEUR",1505088000000,"09/11/2017 01:00:00",3540.18317112,3540.18317112,3487.5,3516,72.4893648
"BTCEUR",1505174400000,"09/12/2017 01:00:00",3602.98328889,3602.98328889,3410.9,3471.4,129.1973801
"BTCEUR",1505260800000,"09/13/2017 01:00:00",3475.5,3479.1,3177,3188.4,248.44698501
"BTCEUR",1505347200000,"09/14/2017 01:00:00",3065.90879892,3078.5,2692.2,2692.2,1012.76572452
"BTCEUR",1505433600000,"09/15/2017 01:00:00",2734.1,3177.1,2512.8,3114.4,1820.91043944
"BTCEUR",1505520000000,"09/16/2017 01:00:00",3149.3,3170.39563987,3003.59434948,3109.1,218.97677894
"BTCEUR",1505606400000,"09/17/2017 01:00:00",3072.7,3160.3,2916.6,3144.2,102.84128678
"BTCEUR",1505692800000,"09/18/2017 01:00:00",3094.21737368,3429,3094.21737368,3411.24525273,178.46908621
"BTCEUR",1505779200000,"09/19/2017 01:00:00",3351.5,3371.6,3212.9583824,3281.85694217,679.63605303
"BTCEUR",1505865600000,"09/20/2017 01:00:00",3259.9,3366.5,3192.25994879,3259,162.30578357
"BTCEUR",1505952000000,"09/21/2017 01:00:00",3166.2,3166.2,3005.8,3026.4,276.31077161
"BTCEUR",1506038400000,"09/22/2017 01:00:00",3041.5,3131.8,2917.1,3027.07716509,355.31900398
"BTCEUR",1506124800000,"09/23/2017 01:00:00",2995.96330829,3166.33676611,2994.62507789,3166.33676611,150.65239764
"BTCEUR",1506211200000,"09/24/2017 01:00:00",3132.29553031,3135.64110631,3031.5,3069.5659803,42.59883572
"BTCEUR",1506297600000,"09/25/2017 01:00:00",3121.1,3157.24048934,3121.1,3157,23.71711096
"BTCEUR",1506384000000,"09/26/2017 01:00:00",3327.23231001,3327.23231001,3283.7,3283.7,16.19999552
"BTCEUR",1506470400000,"09/27/2017 01:00:00",3323.9,3597.92615642,3323.9,3585.06760042,125.68320711
"BTCEUR",1506556800000,"09/28/2017 01:00:00",3567.5,3628.41260645,3516.4,3564.4,160.39870384
"BTCEUR",1506643200000,"09/29/2017 01:00:00",3549.95016784,3592.6,3426,3541,173.1599648
