"symbol","date","openTime","open","high","low","close","volume"
,"03 01 2018","00:00:00","0.05830000","0.05831600","0.05818900","0.05819400","166.47700000"
,"03 01 2018","00:01:00","0.05819400","0.05821100","0.05807600","0.05814200","241.77300000"
,"03 01 2018","00:02:00","0.05818000","0.05830300","0.05812400","0.05815900","193.81500000"
,"03 01 2018","00:03:00","0.05822000","0.05829800","0.05813500","0.05817700","296.56000000"
,"03 01 2018","00:04:00","0.05820600","0.05826200","0.05814000","0.05819600","157.49700000"
,"03 01 2018","00:05:00","0.05819600","0.05828900","0.05815000","0.05826900","148.96200000"
,"03 01 2018","00:06:00","0.05823300","0.05831900","0.05821500","0.05825300","193.13400000"
,"03 01 2018","00:07:00","0.05825200","0.05842000","0.05825100","0.05830000","373.14500000"
,"03 01 2018","00:08:00","0.05830000","0.05835800","0.05803100","0.05817500","267.75800000"
,"03 01 2018","00:09:00","0.05822400","0.05828000","0.05800100","0.05809600","272.84000000"
,"03 01 2018","00:10:00","0.05805400","0.05815800","0.05800100","0.05809900","298.51600000"
,"03 01 2018","00:11:00","0.05809900","0.05818300","0.05803000","0.05808800","273.84800000"
,"03 01 2018","00:12:00","0.05808800","0.05825900","0.05808400","0.05825900","145.52000000"
,"03 01 2018","00:13:00","0.05820100","0.05825900","0.05818700","0.05818700","116.34800000"
,"03 01 2018","00:14:00","0.05818700","0.05819900","0.05810000","0.05817900","139.41600000"
,"03 01 2018","00:15:00","0.05811700","0.05824900","0.05810600","0.05813800","111.07700000"
,"03 01 2018","00:16:00","0.05818100","0.05826900","0.05813900","0.05815600","178.11500000"
,"03 01 2018","00:17:00","0.05815600","0.05820800","0.05808700","0.05815300","163.48600000"
,"03 01 2018","00:18:00","0.05815300","0.05815300","0.05802000","0.05803100","165.31500000"
,"03 01 2018","00:19:00","0.05808800","0.05812500","0.05790700","0.05794900","196.13700000"
,"03 01 2018","00:20:00","0.05800400","0.05800400","0.05780000","0.05789300","127.72500000"
,"03 01 2018","00:21:00","0.05788600","0.05794900","0.05780100","0.05782000","238.72500000"
,"03 01 2018","00:22:00","0.05786900","0.05804300","0.05783100","0.05800200","411.53800000"
,"03 01 2018","00:23:00","0.05800400","0.05809900","0.05795200","0.05804200","266.12800000"
,"03 01 2018","00:24:00","0.05809900","0.05816100","0.05804500","0.05811800","278.38400000"
,"03 01 2018","00:25:00","0.05810000","0.05817900","0.05806700","0.05814400","265.00200000"
,"03 01 2018","00:26:00","0.05809900","0.05829100","0.05807200","0.05817500","207.92700000"
,"03 01 2018","00:27:00","0.05823700","0.05835500","0.05817600","0.05826000","212.24300000"
,"03 01 2018","00:28:00","0.05826000","0.05862500","0.05826000","0.05833800","235.68800000"
,"03 01 2018","00:29:00","0.05833800","0.05846400","0.05832400","0.05840400","190.19400000"
,"03 01 2018","00:30:00","0.05842600","0.05846200","0.05837000","0.05842700","314.38200000"
,"03 01 2018","00:31:00","0.05837100","0.05850800","0.05837000","0.05846600","322.25300000"
