"symbol","TS","time","open","high","low","close","volume"
"BTCUSD",1487635200000,"02/21/2017 00:00:00",1091.8,1134,1085,1129.6,24501.72301054
"BTCUSD",1487721600000,"02/22/2017 00:00:00",1130.1,1140,1106.4,1125.5,14325.96464901
"BTCUSD",1487808000000,"02/23/2017 00:00:00",1125.6,1197,1116.5,1189.8,26155.64694995
"BTCUSD",1487894400000,"02/24/2017 00:00:00",1189.5,1222.4,1110,1185.4,48194.73428838
"BTCUSD",1487980800000,"02/25/2017 00:00:00",1185.4,1189.9,1131.3,1153,16284.70208363
"BTCUSD",1488067200000,"02/26/2017 00:00:00",1153,1186.1,1130.7,1178.3,11081.04641653
"BTCUSD",1488153600000,"02/27/2017 00:00:00",1178.7,1204,1170,1195.5,11761.46289493
"BTCUSD",1488240000000,"02/28/2017 00:00:00",1195.7,1216,1176.6,1189.1,17472.57654792
"BTCUSD",1488326400000,"03/01/2017 00:00:00",1189.1,1236.4,1186,1233.2,22515.14373915
"BTCUSD",1488412800000,"03/02/2017 00:00:00",1233.7,1285.9,1212,1258,30567.99575896
"BTCUSD",1488499200000,"03/03/2017 00:00:00",1258.5,1294.9,1256,1289.2,22291.04174637
"BTCUSD",1488585600000,"03/04/2017 00:00:00",1289.2,1291.9,1240,1267.8,15548.98973312
"BTCUSD",1488672000000,"03/05/2017 00:00:00",1267,1279.9,1245,1278.4,9315.37985801
"BTCUSD",1488758400000,"03/06/2017 00:00:00",1278.5,1287.8,1268,1279.2,9601.0336208
"BTCUSD",1488844800000,"03/07/2017 00:00:00",1279.3,1282,1185,1232.4,42010.77345782
"BTCUSD",1488931200000,"03/08/2017 00:00:00",1232.3,1243.6,1142.1,1150,46839.64626745
"BTCUSD",1489017600000,"03/09/2017 00:00:00",1149.4,1207.6,1136,1190.4,24142.69864558
"BTCUSD",1489104000000,"03/10/2017 00:00:00",1190.3,1339.9,958.5,1115.4,104909.77170613
"BTCUSD",1489190400000,"03/11/2017 00:00:00",1113,1196.6,1101.2,1172.4,31258.1893225
"BTCUSD",1489276800000,"03/12/2017 00:00:00",1172.5,1232.7,1166.8,1224.4,18976.8181757
"BTCUSD",1489363200000,"03/13/2017 00:00:00",1224.4,1247.3,1206.7,1238.5,23066.99795587
"BTCUSD",1489449600000,"03/14/2017 00:00:00",1238.5,1258.8,1218.9,1245,17971.76324106
"BTCUSD",1489536000000,"03/15/2017 00:00:00",1244.4,1263.9,1241,1256.2,15839.62474154
"BTCUSD",1489622400000,"03/16/2017 00:00:00",1257.1,1259.7,1132.5,1168.6,51470.95183399
"BTCUSD",1489708800000,"03/17/2017 00:00:00",1169.1,1169.8,1065,1070.4,59231.71537089
"BTCUSD",1489795200000,"03/18/2017 00:00:00",1067.8,1097.9,935.11,971.51,87862.73760004
"BTCUSD",1489881600000,"03/19/2017 00:00:00",971.63,1059,969.4,1016.5,40547.80017336
"BTCUSD",1489968000000,"03/20/2017 00:00:00",1016.1,1054.2,1011,1040.5,20542.76197018
"BTCUSD",1490054400000,"03/21/2017 00:00:00",1040.5,1122.3,1039,1115.9,33405.34520081
"BTCUSD",1490140800000,"03/22/2017 00:00:00",1115.7,1116,985.55,1039.1,41325.11952863
"BTCUSD",1490227200000,"03/23/2017 00:00:00",1039.3,1055,1018,1032.7,19321.73705224
"BTCUSD",1490313600000,"03/24/2017 00:00:00",1032.7,1034.6,928,942.13,43525.11623355
"BTCUSD",1490400000000,"03/25/2017 00:00:00",942.14,981,888.2,972.17,46012.43192404
"BTCUSD",1490486400000,"03/26/2017 00:00:00",972.17,1006,950.1,968.9,33261.23717014
"BTCUSD",1490572800000,"03/27/2017 01:00:00",969,1046.9,960.1,1042.7,31918.34553246
"BTCUSD",1490659200000,"03/28/2017 01:00:00",1042.8,1068.9,1016.2,1044.7,25249.28777688
"BTCUSD",1490745600000,"03/29/2017 01:00:00",1044.3,1059,1008.5,1041.8,22321.19137681
