"symbol","date","openTime","open","high","low","close","volume"
,"14 07 2017","01:00:00","0.08000000","0.09103300","0.08000000","0.09099300","1942.05700000"
,"15 07 2017","01:00:00","0.09099300","0.09369900","0.08712700","0.08763500","4013.06600000"
,"16 07 2017","01:00:00","0.08750800","0.08763500","0.07559100","0.08224100","8904.15800000"
,"17 07 2017","01:00:00","0.08236800","0.08839400","0.08169900","0.08753700","6650.93300000"
,"18 07 2017","01:00:00","0.08783100","0.10906800","0.08477700","0.10773200","7245.74100000"
,"19 07 2017","01:00:00","0.10773200","0.10873200","0.08429000","0.08685300","7384.97600000"
,"20 07 2017","01:00:00","0.08714400","0.09525200","0.07498200","0.08050900","6395.16000000"
,"21 07 2017","01:00:00","0.08038300","0.08751100","0.07963500","0.08158100","7434.38900000"
,"22 07 2017","01:00:00","0.08158600","0.08473300","0.07985600","0.08247400","7979.89900000"
,"23 07 2017","01:00:00","0.08231200","0.08456000","0.08141700","0.08353300","6340.79900000"
,"24 07 2017","01:00:00","0.08343800","0.08397300","0.08226500","0.08316100","7380.24400000"
,"25 07 2017","01:00:00","0.08314900","0.08314900","0.07548200","0.07965400","7845.03200000"
,"26 07 2017","01:00:00","0.07967600","0.08117200","0.07761000","0.07989200","7496.73800000"
,"27 07 2017","01:00:00","0.07981500","0.08186700","0.07705900","0.07744900","8311.20600000"
,"28 07 2017","01:00:00","0.07705900","0.07785900","0.06682700","0.06880200","11013.82400000"
,"29 07 2017","01:00:00","0.06879700","0.07681400","0.06433500","0.07577300","14305.36900000"
,"30 07 2017","01:00:00","0.07600900","0.07668400","0.06987600","0.07010900","12989.76500000"
,"31 07 2017","01:00:00","0.07040600","0.07334100","0.06759000","0.07248400","12029.45000000"
,"01 08 2017","01:00:00","0.07245900","0.08526000","0.07237000","0.08356800","13623.22700000"
,"02 08 2017","01:00:00","0.08356800","0.08496700","0.07963000","0.08016000","13678.63000000"
,"03 08 2017","01:00:00","0.08016800","0.08379500","0.07827700","0.07896500","11389.11600000"
,"04 08 2017","01:00:00","0.07896500","0.08071000","0.07633200","0.07647500","12523.98500000"
,"05 08 2017","01:00:00","0.07656300","0.07932200","0.07132500","0.07916000","12348.25500000"
,"06 08 2017","01:00:00","0.07916000","0.08315100","0.07851000","0.08102900","13069.28400000"
,"07 08 2017","01:00:00","0.08102900","0.08247500","0.07954700","0.08117100","13667.77500000"
,"08 08 2017","01:00:00","0.08117100","0.08744400","0.07800000","0.08529600","14885.59200000"
,"09 08 2017","01:00:00","0.08533100","0.09357800","0.08037200","0.08315900","15503.61300000"
,"10 08 2017","01:00:00","0.08330300","0.09092000","0.08248900","0.08446600","16483.65500000"
,"11 08 2017","01:00:00","0.08461300","0.08717800","0.08316700","0.08494100","18017.65500000"
,"12 08 2017","01:00:00","0.08495000","0.08760100","0.08001000","0.08016300","15210.94600000"
,"13 08 2017","01:00:00","0.08018200","0.08045900","0.06800700","0.07382400","20955.91500000"
,"14 08 2017","01:00:00","0.07385000","0.07991100","0.06853500","0.07089900","28508.69000000"
,"15 08 2017","01:00:00","0.07089900","0.07520000","0.06616100","0.06939500","28889.16500000"
,"16 08 2017","01:00:00","0.06939500","0.07666900","0.06831000","0.06974300","22035.26900000"
,"17 08 2017","01:00:00","0.06973500","0.07225400","0.06807700","0.07047900","24002.43100000"
,"18 08 2017","01:00:00","0.07047900","0.07300500","0.06956500","0.07143300","29861.75600000"
,"19 08 2017","01:00:00","0.07118700","0.07374100","0.06992500","0.07003600","19918.66500000"
,"20 08 2017","01:00:00","0.07034700","0.07300000","0.06900000","0.07219800","22530.29400000"
,"21 08 2017","01:00:00","0.07219800","0.08865800","0.07150900","0.08052000","48283.41600000"
,"22 08 2017","01:00:00","0.08068800","0.08450000","0.07001000","0.07682500","42660.05000000"
,"23 08 2017","01:00:00","0.07679400","0.07968900","0.07416400","0.07706000","41661.39200000"
,"24 08 2017","01:00:00","0.07706000","0.07864900","0.07456700","0.07533900","44430.69200000"
,"25 08 2017","01:00:00","0.07530200","0.07790000","0.07474200","0.07658700","35690.37700000"
,"26 08 2017","01:00:00","0.07659300","0.07870800","0.07526900","0.07664700","31475.75200000"
,"27 08 2017","01:00:00","0.07664700","0.08260000","0.07537700","0.08043600","36949.12700000"
,"28 08 2017","01:00:00","0.08064900","0.08188400","0.07850100","0.07963200","28745.66800000"
,"29 08 2017","01:00:00","0.07963200","0.08440200","0.07903700","0.08155100","32574.22100000"
,"30 08 2017","01:00:00","0.08155100","0.08508500","0.08077600","0.08420000","30766.05900000"
,"31 08 2017","01:00:00","0.08403200","0.08419800","0.08159800","0.08196700","26520.59800000"
,"01 09 2017","01:00:00","0.08196700","0.08440800","0.08001500","0.08084900","28097.57200000"
,"02 09 2017","01:00:00","0.08084900","0.08274000","0.07386100","0.07639600","32502.56600000"
,"03 09 2017","01:00:00","0.07639600","0.07886000","0.07374000","0.07593800","42102.84200000"
,"04 09 2017","01:00:00","0.07603100","0.07607100","0.06500000","0.07032000","50413.57100000"
,"05 09 2017","01:00:00","0.07027600","0.07215400","0.06565500","0.07178800","41673.10700000"
,"06 09 2017","01:00:00","0.07178800","0.07387100","0.07095400","0.07282100","34711.43600000"
,"07 09 2017","01:00:00","0.07282100","0.07299000","0.06500000","0.07160000","16057.51800000"
,"08 09 2017","01:00:00","0.07160000","0.07251000","0.06555000","0.07024600","22241.96300000"
,"09 09 2017","01:00:00","0.07024600","0.07167800","0.06803300","0.07015100","8597.58500000"
,"10 09 2017","01:00:00","0.07010000","0.07110000","0.06818100","0.07012700","7873.98500000"
,"11 09 2017","01:00:00","0.07059900","0.07199800","0.06875500","0.07063000","7460.72200000"
